Binomial,Area,Group,Year,Family,Category,Conser_research_effort,Realm,ROi,ERi,General_research_effort,Nº cong species,CSi,Total_RO_nas_congeneric_species,ROCSi,RPM
Anoplohydrus aemulans,578.972828,snake,1909,NATRICIDAE,DD,0,Oriental,1,1,0,0,1,0,1,3
Chalcidoseps thwaitesi,638.064364,lizard,1872,SCINCIDAE,NC,0,Oriental,1,1,0,0,1,0,1,3
Complicitus nigrigularis,9.996281,lizard,1991,AGAMIDAE,DD,0,Oriental,1,1,0,0,1,0,1,3
Cyclotyphlops deharvengi,19.992561,snake,1994,TYPHLOPIDAE,NC,0,Oriental,1,1,0,0,1,0,1,3
Etheridgeum pulchrum,299.248309,snake,1924,COLUBRIDAE,DD,0,Oriental,1,1,0,0,1,0,1,3
Heurnia ventromaculata,947.685593,snake,1926,HOMALOPSIDAE,DD,0,Oceanina,1,1,0,0,1,0,1,3
Karnsophis siantaris,9.996281,snake,2013,HOMALOPSIDAE,NC,0,Oriental,1,1,0,0,1,0,1,3
Loveridgelaps elapoides,34867.21069,snake,1890,ELAPIDAE,VU,0,Oceanina,1,1,0,0,1,0,1,3
Myersophis alpestris,96.921305,snake,1963,COLUBRIDAE,DD,0,Oriental,1,1,0,0,1,0,1,3
Ogmodon vitianus,10747.71368,snake,1864,ELAPIDAE,EN,0,Oceanina,1,1,0,0,1,0,1,3
Sumatranus albomaculata,6.669451,snake,1854,HOMALOPSIDAE,NC,0,Oriental,1,1,0,0,1,0,1,3
Tetralepis fruhstorferi,1884.217587,snake,1892,COLUBRIDAE,VU,0,Oriental,1,1,0,0,1,0,1,3
Thaumatorhynchus brooksi,9.996281,lizard,1924,AGAMIDAE,NC,0,Oriental,1,1,0,0,1,0,1,3
Calamorhabdium acuticeps,9.996281,snake,1933,COLUBRIDAE,NC,0,Oriental,1,1,0,1,0.99754902,0,1,2.99877451
Calamorhabdium kuekenthali,1868.129448,snake,1898,COLUBRIDAE,NC,0,Oceanina,1,1,0,1,0.99754902,0,1,2.99877451
Cophotis ceylanica,1561.572067,lizard,1861,AGAMIDAE,NC,0,Oriental,1,1,0,1,0.99754902,0,1,2.99877451
Cophotis dumbara,53.191764,lizard,2006,AGAMIDAE,CR,0,Oriental,1,1,0,1,0.99754902,0,1,2.99877451
Dryophiops philippina,218076.3853,snake,1896,COLUBRIDAE,VU,0,Oriental,1,1,0,1,0.99754902,0,1,2.99877451
Hologerrhum dermali,1180.681102,snake,2001,NATRICIDAE,EN,0,Oriental,1,1,0,1,0.99754902,0,1,2.99877451
Hydrablabes praefrontalis,440.137868,snake,1890,NATRICIDAE,DD,0,Oriental,1,1,0,1,0.99754902,0,1,2.99877451
Janetaescincus braueri,23.35353,lizard,1896,SCINCIDAE,EN,0,Oceanina,1,1,0,1,0.99754902,0,1,2.99877451
Janetaescincus veseyfitzgeraldi,39.262599,lizard,1947,SCINCIDAE,EN,0,Oceanina,1,1,0,1,0.99754902,0,1,2.99877451
Matoatoa brevipes,16912.12673,lizard,1900,GEKKONIDAE,VU,0,Madagascan,1,1,0,1,0.99754902,0,1,2.99877451
Matoatoa spannringi,131.369884,lizard,1998,GEKKONIDAE,DD,0,Madagascan,1,1,0,1,0.99754902,0,1,2.99877451
Alluaudina mocquardi,9.996281,snake,1939,PSEUDOXYRHOPHIIDAE,EN,0,Madagascan,1,1,0,1,0.99754902,1,0.999709133,2.998629076
Celatiscincus similis,1139.622726,lizard,2006,SCINCIDAE,EN,0,Oceanina,1,1,0,1,0.99754902,1,0.999709133,2.998629076
Mniarogekko chahoua,3073.049101,lizard,1869,DIPLODACTYLIDAE,VU,0,Australian,1,1,0,1,0.99754902,1,0.999709133,2.998629076
Sirenoscincus yamagishii,4470.929544,lizard,2003,SCINCIDAE,NC,0,Madagascan,1,1,0,1,0.99754902,1,0.999709133,2.998629076
Pygomeles petteri,1657.263553,lizard,1962,SCINCIDAE,EN,0,Madagascan,1,1,0,1,0.99754902,2,0.999418266,2.998483643
